timestamp,topicCount,consumerCount,queueCount,producerCount,sessionCount,connectionCount,durableCount,msgMem,diskReadRate,diskWriteRate,syncDBSize,asyncDBSize,pendingMessageCount,pendingMessageSize,outboundMessageCount,inboundMessageCount,inboundMessageRate,outboundMessageRate,routeRecoverCount,diskReadOperationsRate,outboundBytesRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,RespTime
Wed Feb 21 15:27:19 143 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2102,2103,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:27:49 156 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2104,2105,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:28:19 171 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2106,2107,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:28:49 173 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2108,2109,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:29:19 180 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2110,2111,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:29:49 194 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2112,2113,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:30:19 198 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2114,2115,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:30:49 212 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2116,2117,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:31:19 228 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2118,2119,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:31:49 232 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2120,2121,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:32:19 235 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2122,2123,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:32:49 244 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2124,2125,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:33:19 255 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2126,2127,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:33:49 266 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2128,2129,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:34:19 281 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2130,2131,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:34:49 290 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2132,2133,0,0,0,0,0,0,0,53248,2
Wed Feb 21 15:35:19 300 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2134,2135,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:35:49 316 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2136,2137,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:36:19 335 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2138,2139,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:36:49 343 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2140,2141,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:37:19 359 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2142,2143,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:37:49 370 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2144,2145,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:38:19 378 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2146,2147,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:38:49 384 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2148,2149,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:39:19 408 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2150,2151,0,0,0,0,0,0,0,53248,1
