timestamp,inboundMessageCount,pendingMessageCount,outboundMessageRate,pendingMessageSize,outboundMessageCount,inboundMessageRate,topicCount,queueCount,consumerCount,producerCount,sessionCount,asyncDBSize,diskReadRate,durableCount,msgMem,syncDBSize,connectionCount,diskWriteRate,routeRecoverCount,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,msgMemPooled,RespTime
Thu Feb 22 10:47:18 058 CST 2024,98,6,0,6574,97,0,8,8,3,1,2,36352,0,3,19164,2048,2,0,0,0,0,0,0,53248,8
Thu Feb 22 10:47:48 073 CST 2024,101,6,0,6574,100,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 10:48:18 091 CST 2024,104,6,0,6574,103,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:48:48 102 CST 2024,107,6,0,6574,106,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 10:49:18 115 CST 2024,110,6,0,6574,109,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:49:48 133 CST 2024,113,6,0,6574,112,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 10:50:18 159 CST 2024,116,6,0,6574,115,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 10:50:48 167 CST 2024,119,6,0,6574,118,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 10:51:18 172 CST 2024,122,6,0,6574,121,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 10:51:48 193 CST 2024,125,6,0,6574,124,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 10:52:18 202 CST 2024,128,6,0,6574,127,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:52:48 222 CST 2024,131,6,0,6574,130,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 10:53:18 248 CST 2024,134,6,0,6574,133,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,5
Thu Feb 22 10:53:48 260 CST 2024,137,6,0,6574,136,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 10:54:18 263 CST 2024,140,6,0,6574,139,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:54:48 271 CST 2024,143,6,0,6574,142,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 10:55:18 289 CST 2024,146,6,0,6574,145,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 10:55:48 305 CST 2024,149,6,0,6574,148,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:56:18 327 CST 2024,152,6,0,6574,151,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 10:56:48 343 CST 2024,155,6,0,6574,154,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:57:18 358 CST 2024,158,6,0,6574,157,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 10:57:48 371 CST 2024,161,6,0,6574,160,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 10:58:18 384 CST 2024,164,6,0,6574,163,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 10:58:48 395 CST 2024,167,6,0,6574,166,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 10:59:18 405 CST 2024,170,6,0,6574,169,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,0
Thu Feb 22 10:59:48 411 CST 2024,173,6,0,6574,172,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:00:18 426 CST 2024,176,6,0,6574,175,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:00:48 445 CST 2024,179,6,0,6574,178,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 11:01:18 457 CST 2024,182,6,0,6574,181,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:01:48 465 CST 2024,185,6,0,6574,184,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:02:18 478 CST 2024,188,6,0,6574,187,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:02:48 499 CST 2024,191,6,0,6574,190,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
