timestamp,connectionCount,consumerCount,queueCount,topicCount,producerCount,outboundMessageRate,outboundMessageCount,pendingMessageSize,inboundMessageRate,pendingMessageCount,inboundMessageCount,msgMem,diskWriteRate,sessionCount,diskReadRate,asyncDBSize,durableCount,syncDBSize,msgMemPooled,inboundBytesRate,diskReadOperationsRate,routeRecoverCount,diskWriteOperationsRate,outboundBytesRate,RespTime
Mon Feb 12 16:09:32 211 CST 2024,3,4,9,7,2,0,110,0,0,0,111,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,5
Mon Feb 12 16:10:02 218 CST 2024,3,4,9,7,2,0,113,0,0,0,114,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:10:32 225 CST 2024,3,4,9,7,2,0,116,0,0,0,117,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:11:02 283 CST 2024,3,4,9,7,2,0,119,0,0,0,120,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:11:32 289 CST 2024,3,4,9,7,2,0,122,0,0,0,123,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:12:02 311 CST 2024,3,4,9,7,2,0,125,0,0,0,126,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
Mon Feb 12 16:12:32 323 CST 2024,3,4,9,7,2,0,128,0,0,0,129,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:13:02 358 CST 2024,3,4,9,7,2,0,131,0,0,0,132,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:13:32 370 CST 2024,3,4,9,7,2,0,134,0,0,0,135,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:14:02 383 CST 2024,3,4,9,7,2,0,137,0,0,0,138,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:14:32 396 CST 2024,3,4,9,7,2,0,140,0,0,0,141,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:15:02 403 CST 2024,3,4,9,7,2,0,143,0,0,0,144,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
Mon Feb 12 16:15:32 416 CST 2024,3,4,9,7,2,0,146,0,0,0,147,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:16:02 424 CST 2024,3,4,9,7,2,0,149,0,0,0,150,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:16:32 433 CST 2024,3,4,9,7,2,0,152,0,0,0,153,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
Mon Feb 12 16:17:02 457 CST 2024,3,4,9,7,2,0,155,0,0,0,156,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,4
Mon Feb 12 16:17:32 478 CST 2024,3,4,9,7,2,0,158,0,0,0,159,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,5
Mon Feb 12 16:18:02 508 CST 2024,3,4,9,7,2,0,161,0,0,0,162,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:18:32 529 CST 2024,3,4,9,7,2,0,164,0,0,0,165,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,6
Mon Feb 12 16:19:02 542 CST 2024,3,4,9,7,2,0,167,0,0,0,168,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:19:32 564 CST 2024,3,4,9,7,2,0,170,0,0,0,171,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
Mon Feb 12 16:20:02 576 CST 2024,3,4,9,7,2,0,173,0,0,0,174,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:20:32 580 CST 2024,3,4,9,7,2,0,176,0,0,0,177,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
