timestamp,durableCount,diskReadRate,msgMem,sessionCount,syncDBSize,asyncDBSize,diskWriteRate,topicCount,consumerCount,producerCount,queueCount,pendingMessageCount,largeDestCount,connectionCount,inboundMessageCount,pendingMessageSize,outboundMessageRate,outboundMessageCount,inboundMessageRate,msgMemPooled,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,adminConnectionCount,clientConnectionCount,routeRecoverCount,RespTime
Mon Sep 02 11:39:56 042 BST 2019,0,0,12861,1,1536,3584,0,5,1,1,8,0,0,1,553,0,0,552,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 11:40:20 736 BST 2019,0,0,17525,2,1536,3584,0,7,3,1,8,0,0,2,556,0,0,555,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 11:40:26 052 BST 2019,0,0,17525,2,1536,3584,0,7,3,1,8,0,0,2,558,0,0,557,0,53248,0,0,0,0,-1,-1,0,3
Mon Sep 02 11:40:56 054 BST 2019,0,0,17526,2,1536,3584,0,7,3,1,8,0,0,2,561,0,0,560,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 11:41:26 058 BST 2019,0,0,17526,2,1536,3584,0,7,3,1,8,0,0,2,565,0,0,564,0,53248,0,0,0,0,-1,-1,0,3
