timestamp,pendingMessageCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,consumerCount,producerCount,queueCount,topicCount,connectionCount,sessionCount,durableCount,diskWriteRate,diskReadRate,syncDBSize,asyncDBSize,msgMem,msgMemPooled,diskWriteOperationsRate,inboundBytesRate,diskReadOperationsRate,outboundBytesRate,routeRecoverCount,RespTime
Fri Feb 16 11:58:51 998 CST 2024,6,6574,165,0,164,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 11:59:22 014 CST 2024,6,6574,168,0,167,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 11:59:52 028 CST 2024,6,6574,171,0,170,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:00:22 050 CST 2024,6,6574,174,0,173,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,4
Fri Feb 16 12:00:52 067 CST 2024,6,6574,177,0,176,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:01:22 072 CST 2024,6,6574,180,0,179,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:01:52 088 CST 2024,6,6574,183,0,182,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:02:22 107 CST 2024,6,6574,186,0,185,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:02:52 119 CST 2024,6,6574,189,0,188,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:03:22 127 CST 2024,6,6574,192,0,191,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:03:52 130 CST 2024,6,6574,195,0,194,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:04:22 144 CST 2024,6,6574,198,0,197,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,4
Fri Feb 16 12:04:52 157 CST 2024,6,6574,201,0,200,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:05:22 171 CST 2024,6,6574,204,0,203,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,6
Fri Feb 16 12:05:52 184 CST 2024,6,6574,207,0,206,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,5
Fri Feb 16 12:06:22 198 CST 2024,6,6574,210,0,209,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,4
