timestamp,durableCount,diskReadRate,msgMem,sessionCount,syncDBSize,asyncDBSize,diskWriteRate,topicCount,consumerCount,producerCount,queueCount,pendingMessageCount,largeDestCount,connectionCount,inboundMessageCount,pendingMessageSize,outboundMessageRate,outboundMessageCount,inboundMessageRate,msgMemPooled,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,adminConnectionCount,clientConnectionCount,routeRecoverCount,RespTime
Mon Sep 02 11:59:26 247 BST 2019,0,0,13028,1,1536,3584,0,5,1,1,9,0,0,1,707,0,0,706,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 11:59:56 251 BST 2019,0,0,13028,1,1536,3584,0,5,1,1,9,0,0,1,710,0,0,709,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:00:26 255 BST 2019,0,0,13028,1,1536,3584,0,5,1,1,9,0,0,1,713,0,0,712,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:00:56 261 BST 2019,0,0,17692,2,1536,3584,0,5,2,1,9,0,0,2,716,0,0,715,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:01:26 296 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,721,0,0,720,0,53248,0,0,0,0,-1,-1,0,33
Mon Sep 02 12:01:56 297 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,724,0,0,723,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:02:26 305 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,727,0,0,726,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:02:56 308 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,730,0,0,729,0,53248,0,0,0,0,-1,-1,0,3
Mon Sep 02 12:03:26 320 BST 2019,0,0,12863,1,1536,4096,0,5,1,1,9,0,0,1,735,0,0,734,0,53248,0,0,0,0,-1,-1,0,10
Mon Sep 02 12:03:56 321 BST 2019,0,0,12863,1,1536,4096,0,5,1,1,9,0,0,1,740,0,0,739,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:04:26 328 BST 2019,0,0,18357,3,1536,4608,0,5,2,1,9,0,0,2,747,0,0,746,0,53248,0,0,0,0,-1,-1,0,5
Mon Sep 02 12:04:56 330 BST 2019,0,0,18357,3,1536,4608,0,5,2,1,9,0,0,2,750,0,0,749,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:05:26 332 BST 2019,0,0,18357,3,1536,4608,0,5,2,1,9,0,0,2,753,0,0,752,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:05:56 335 BST 2019,0,0,18357,3,1536,4608,0,5,2,1,9,0,0,2,756,0,0,755,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:06:26 337 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,759,0,0,758,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:06:56 338 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,762,0,0,761,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:07:26 339 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,765,0,0,764,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:07:56 341 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,768,0,0,767,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:08:26 342 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,771,0,0,770,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:08:56 344 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,774,0,0,773,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:09:26 345 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,777,0,0,776,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:09:56 347 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,780,0,0,779,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:10:26 349 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,783,0,0,782,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:10:56 351 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,786,0,0,785,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:11:26 353 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,789,0,0,788,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:11:56 355 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,792,0,0,791,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:12:26 357 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,795,0,0,794,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:12:56 360 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,798,0,0,797,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:13:26 365 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,801,0,0,800,0,53248,0,0,0,0,-1,-1,0,3
Mon Sep 02 12:13:56 368 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,804,0,0,803,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:14:26 369 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,807,0,0,806,0,53248,0,0,0,0,-1,-1,0,0
